collection;deck;question;correct_answer;wrong_answer_1;wrong_answer_2;wrong_answer_3;hint;explanation;level;difficulty;tags;source;cloze_text;accepted_answers;cloze_answers;cloze_word_bank
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quelle est la seule exception permettant à un coauteur d'agir seul sans convention ?;Agir en justice pour défendre ses droits personnels;Vendre toutes les licences;Modifier librement tout le logiciel;Céder l'ensemble des droits;Revois qui crée, qui détient et dans quel cadre.;Le document précise que l'exception permet à un coauteur d'agir en justice pour défendre ses droits personnels. Cela ne l'autorise pas à exploiter seul l'oeuvre commune.;2;moyen;cotitularite|action-justice;2.2 - Droit d'auteur - Titularité;La seule exception est {{agir en justice pour défendre ses droits personnels}}.;agir en justice|défendre ses droits personnels;agir en justice pour défendre ses droits personnels;agir en justice pour défendre ses droits personnels|Vendre toutes les licences|Modifier librement tout le logiciel|Céder l'ensemble des droits
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quelles sont les deux grandes catégories de droits reconnues à l'auteur d'un programme ?;Les droits moraux et les droits patrimoniaux;Les droits fiscaux et administratifs;Les droits réels et personnels;Les droits pénaux et sociaux;-;Le document distingue les droits moraux, liés au lien personnel avec l'oeuvre, et les droits patrimoniaux, liés à l'exploitation économique du programme.;1;facile;droits-moraux|droits-patrimoniaux;2.2 - Droit d'auteur - Droits moraux;L'auteur d'un programme dispose de {{droits moraux et droits patrimoniaux}}.;droits moraux et droits patrimoniaux;droits moraux et droits patrimoniaux;droits moraux et droits patrimoniaux|Les droits fiscaux et administratifs|Les droits réels et personnels|Les droits pénaux et sociaux
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quel droit moral permet à l'auteur d'être identifié comme créateur ?;Le droit d'attribution ou de paternité;Le droit de distribution;Le droit de reproduction;Le droit d'épuisement;-;Le droit d'attribution, aussi appelé droit de paternité, permet à l'auteur d'être identifié comme créateur de l'oeuvre. Le document donne l'exemple du nom du développeur dans la documentation.;1;facile;paternite|attribution;2.2 - Droit d'auteur - Droits moraux;Le droit d'être identifié comme créateur est {{le droit d'attribution ou de paternité}}.;droit d'attribution|droit de paternité;le droit d'attribution ou de paternité;le droit d'attribution ou de paternité|Le droit de distribution|Le droit de reproduction|Le droit d'épuisement
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quel droit moral permet en principe de s'opposer à une modification non autorisée ?;Le droit à l'intégrité;Le droit de distribution;Le droit de sauvegarde;Le droit d'application industrielle;-;Le droit à l'intégrité permet en principe à l'auteur de s'opposer à une modification de son oeuvre. En matière de logiciels, ce droit est toutefois réduit.;1;facile;integrite|droit-moral;2.2 - Droit d'auteur - Droits moraux;Le droit lié aux modifications est {{le droit à l'intégrité}}.;droit à l'intégrité|intégrité;le droit à l'intégrité;le droit à l'intégrité|Le droit de distribution|Le droit de sauvegarde|Le droit d'application industrielle
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quel droit moral supplémentaire existe en droit belge commun selon l'article XI.165 CDE ?;Le droit de divulgation;Le droit de location;Le droit de décompilation;Le droit de brevetabilité;-;Le droit de divulgation permet à l'auteur de décider quand et comment l'oeuvre sera rendue publique. Le document montre ensuite que ce droit n'est pas reconnu de la même manière pour les logiciels.;1;facile;divulgation|xi165;2.2 - Droit d'auteur - Droits moraux;En droit belge commun, l'article XI.165 CDE prévoit {{le droit de divulgation}}.;droit de divulgation|divulgation;le droit de divulgation;le droit de divulgation|Le droit de location|Le droit de décompilation|Le droit de brevetabilité
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Les logiciels bénéficient-ils du droit moral de divulgation selon l'article XI.297 CDE ?;Non;Oui, sans limite;Oui, seulement en open source;Oui, si le logiciel est standard;Revois les prérogatives personnelles de l'auteur.;Le droit moral sur les logiciels est régi uniquement par l'article 6bis, §1 de la Convention de Berne. Cela exclut le droit de divulgation pour les programmes d'ordinateur.;2;moyen;divulgation|xi297;2.2 - Droit d'auteur - Droits moraux;En matière de logiciel, il n'y a {{pas de droit de divulgation}}.;pas de droit de divulgation|non;pas de droit de divulgation;pas de droit de divulgation|Oui, sans limite|Oui, seulement en open source|Oui, si le logiciel est standard
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Que signifie l'absence de droit de divulgation pour l'auteur d'un logiciel ?;Il ne peut pas décider quand ou comment le logiciel sera rendu public;Il ne peut jamais être nommé;Il perd tous ses droits patrimoniaux;Il peut interdire toute correction;Revois les prérogatives personnelles de l'auteur.;Le document explique que l'auteur du logiciel ne peut pas décider, par droit moral, du moment ou des modalités de la publication. Cette limitation peut avoir des effets patrimoniaux importants.;2;moyen;divulgation|logiciel;2.2 - Droit d'auteur - Droits moraux;L'auteur du logiciel ne peut pas {{décider quand ou comment le logiciel sera rendu public}}.;décider de la publication|choisir la divulgation;décider quand ou comment le logiciel sera rendu public;décider quand ou comment le logiciel sera rendu public|Il ne peut jamais être nommé|Il perd tous ses droits patrimoniaux|Il peut interdire toute correction
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Comment le droit à l'intégrité est-il réduit pour les logiciels ?;L'auteur ne peut s'opposer à une modification que si elle porte atteinte à son honneur ou sa réputation;Il peut s'opposer à toute mise à jour;Il disparaît totalement;Il devient un droit de brevet;Revois les prérogatives personnelles de l'auteur.;Pour permettre l'adaptation technique des logiciels, le droit à l'intégrité est limité. L'auteur ne peut agir que si la modification porte atteinte à son honneur ou sa réputation.;2;moyen;integrite|reputation;2.2 - Droit d'auteur - Droits moraux;L'auteur ne peut s'opposer à une modification que si elle atteint {{son honneur ou sa réputation}}.;honneur ou réputation|réputation;son honneur ou sa réputation;son honneur ou sa réputation|Il peut s'opposer à toute mise à jour|Il disparaît totalement|Il devient un droit de brevet
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Dans l'exemple de Chloé, quand peut-elle s'opposer aux modifications du logiciel ?;Si elles nuisent à sa réputation, par exemple par des failles de sécurité ou bugs majeurs;Dès qu'une fonctionnalité change;Uniquement si le logiciel est vendu hors UE;Jamais en aucun cas;Revois les prérogatives personnelles de l'auteur.;Chloé ne peut pas s'opposer à de simples adaptations techniques. Elle peut agir si les modifications dénaturent le programme au point de nuire à sa réputation.;2;moyen;integrite|exemple;2.2 - Droit d'auteur - Droits moraux;Chloé peut agir si les modifications nuisent à {{sa réputation}}.;sa réputation|réputation;sa réputation;sa réputation|Dès qu'une fonctionnalité change|Uniquement si le logiciel est vendu hors UE|Jamais en aucun cas
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Que dit l'article XI.165 CDE sur une oeuvre non divulguée ?;Elle est insaisissable;Elle est automatiquement brevetée;Elle tombe dans le domaine public;Elle appartient au créancier;-;Le document cite la règle selon laquelle une oeuvre non divulguée est insaisissable. Un créancier ne peut donc pas saisir une oeuvre jamais rendue publique.;1;facile;xi165|insaisissable;2.2 - Droit d'auteur - Droits moraux;Une oeuvre non divulguée est {{insaisissable}}.;insaisissable;insaisissable;insaisissable|Elle est automatiquement brevetée|Elle tombe dans le domaine public|Elle appartient au créancier
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Pourquoi l'absence de droit de divulgation peut-elle poser problème dans une start-up en difficulté ?;Parce qu'un logiciel non divulgué peut devenir un actif verrouillé et insaisissable;Parce qu'elle rend tout brevet nul;Parce qu'elle impose la publication du code source;Parce qu'elle supprime la valeur du logiciel;Revois les prérogatives personnelles de l'auteur.;Dans une start-up en difficulté, le logiciel peut être le principal actif. S'il n'a pas été divulgué, son insaisissabilité peut empêcher les créanciers de s'en servir pour se rembourser.;3;avancé;faillite|insaisissable|divulgation;2.2 - Droit d'auteur - Droits moraux;Un logiciel non divulgué peut devenir {{un actif verrouillé et insaisissable}}.;actif verrouillé|insaisissable;un actif verrouillé et insaisissable;un actif verrouillé et insaisissable|Parce qu'elle rend tout brevet nul|Parce qu'elle impose la publication du code source|Parce qu'elle supprime la valeur du logiciel
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quel article du CDE vise les droits patrimoniaux sur les programmes d'ordinateur ?;L'article XI.298 CDE;L'article XI.297 CDE;L'article XI.165 CDE;L'article 52 CBE;-;L'article XI.298 CDE est cité pour les droits patrimoniaux sur les logiciels. Ces droits permettent d'autoriser ou d'interdire certaines utilisations du programme.;1;facile;xi298|droits-patrimoniaux;2.2 - Droit d'auteur - Droits patrimoniaux;Les droits patrimoniaux sont visés par {{l'article XI.298 CDE}}.;article XI.298 CDE|XI.298 CDE;l'article XI.298 CDE;l'article XI.298 CDE|L'article XI.297 CDE|L'article XI.165 CDE|L'article 52 CBE
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quel est le principe général des droits patrimoniaux ?;Le titulaire peut autoriser ou interdire certaines utilisations du logiciel;Tout utilisateur peut modifier librement le logiciel;Le logiciel devient public dès sa création;Le titulaire doit céder le code source;-;Les droits patrimoniaux donnent un droit exclusif d'exploitation. Le titulaire peut autoriser ou interdire certains actes, sauf exceptions légales.;1;facile;exploitation|autorisation;2.2 - Droit d'auteur - Droits patrimoniaux;Les droits patrimoniaux permettent {{d'autoriser ou d'interdire certaines utilisations}}.;autoriser ou interdire|contrôler les utilisations;d'autoriser ou d'interdire certaines utilisations;d'autoriser ou d'interdire certaines utilisations|Tout utilisateur peut modifier librement le logiciel|Le logiciel devient public dès sa création|Le titulaire doit céder le code source
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quelles sont les trois grandes catégories de droits patrimoniaux citées ?;Reproduction, traduction/adaptation/arrangement, distribution;Paternité, intégrité, divulgation;Nouveauté, activité inventive, application industrielle;Dépôt, recherche, octroi;-;Le document énumère le droit de reproduction, le droit de traduction, adaptation et arrangement, et le droit de distribution. Ces droits forment le coeur des droits patrimoniaux sur le logiciel.;1;facile;reproduction|adaptation|distribution;2.2 - Droit d'auteur - Droits patrimoniaux;Les trois droits sont {{reproduction, adaptation/traduction/arrangement et distribution}}.;reproduction|adaptation|distribution;reproduction, adaptation/traduction/arrangement et distribution;reproduction, adaptation/traduction/arrangement et distribution|Paternité, intégrité, divulgation|Nouveauté, activité inventive, application industrielle|Dépôt, recherche, octroi
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Que couvre le droit de reproduction ?;Toute copie permanente ou provisoire, en tout ou en partie;Uniquement les copies imprimées;Uniquement les copies vendues dans l'UE;Uniquement les copies de sauvegarde;Revois les actes d'exploitation soumis à autorisation.;Le droit de reproduction couvre la reproduction permanente ou provisoire du programme, en tout ou en partie, par tout moyen et sous toute forme. Il est donc très large.;2;moyen;reproduction|copie;2.2 - Droit d'auteur - Droits patrimoniaux;La reproduction couvre toute copie {{permanente ou provisoire}}.;permanente ou provisoire|provisoire|temporaire;permanente ou provisoire;permanente ou provisoire|Uniquement les copies imprimées|Uniquement les copies vendues dans l'UE|Uniquement les copies de sauvegarde
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Pourquoi le chargement en mémoire peut-il relever du droit de reproduction ?;Parce qu'il crée une reproduction provisoire en mémoire;Parce qu'il modifie toujours le code source;Parce qu'il distribue le logiciel;Parce qu'il transforme l'interface;Revois les actes d'exploitation soumis à autorisation.;Le chargement en mémoire, même automatique, crée une reproduction temporaire du programme. Il peut donc relever du droit de reproduction, sauf exception applicable.;2;moyen;ram|reproduction-provisoire;2.2 - Droit d'auteur - Droits patrimoniaux;Le chargement en RAM crée {{une reproduction provisoire}}.;reproduction provisoire|copie temporaire;une reproduction provisoire;une reproduction provisoire|Parce qu'il modifie toujours le code source|Parce qu'il distribue le logiciel|Parce qu'il transforme l'interface
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Pourquoi préciser la reproduction provisoire ?;Pour éviter un contournement par exécution à distance sans copie locale permanente;Pour supprimer la copie de sauvegarde;Pour interdire l'usage légitime;Pour rendre le logiciel non protégeable;Revois les actes d'exploitation soumis à autorisation.;La notion empêche de contourner le droit en faisant tourner un logiciel à distance depuis un serveur central. Même sans copie permanente sur les terminaux, l'exécution peut impliquer une reproduction provisoire.;2;moyen;serveur|contournement;2.2 - Droit d'auteur - Droits patrimoniaux;La reproduction provisoire évite le contournement par {{exécution à distance sans copie locale permanente}}.;exécution à distance|serveur central;exécution à distance sans copie locale permanente;exécution à distance sans copie locale permanente|Pour supprimer la copie de sauvegarde|Pour interdire l'usage légitime|Pour rendre le logiciel non protégeable
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Que couvre le droit de traduction, adaptation et arrangement ?;Toute transformation du programme et la reproduction du programme transformé;Uniquement la vente de copies;Uniquement la mention du nom;Uniquement la sauvegarde privée;Revois les actes d'exploitation soumis à autorisation.;Ce droit permet au titulaire d'autoriser ou d'interdire la traduction, l'adaptation, l'arrangement ou toute autre transformation du programme. Il couvre aussi la reproduction du programme résultant.;2;moyen;adaptation|transformation;2.2 - Droit d'auteur - Droits patrimoniaux;Le droit d'adaptation couvre {{toute transformation du programme}}.;transformation du programme|adaptation|traduction;toute transformation du programme;toute transformation du programme|Uniquement la vente de copies|Uniquement la mention du nom|Uniquement la sauvegarde privée
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Toute modification technique ou linguistique du logiciel est-elle soumise à autorisation en principe ?;Oui;Non, jamais;Oui, seulement hors UE;Non, si elle est rapide;Revois les actes d'exploitation soumis à autorisation.;Le document indique que toute modification du logiciel d'origine, même technique ou linguistique, est soumise à autorisation. Les exceptions légales peuvent toutefois limiter ce principe.;2;moyen;modification|autorisation;2.2 - Droit d'auteur - Droits patrimoniaux;En principe, toute modification du logiciel est {{soumise à autorisation}}.;oui|soumise à autorisation;soumise à autorisation;soumise à autorisation|Non, jamais|Oui, seulement hors UE|Non, si elle est rapide
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Qu'est-ce que la localisation d'un logiciel ?;Les ajustements nécessaires pour adapter un logiciel à un pays ou une langue;Le stockage du logiciel sur un disque local;La recherche de l'adresse IP;La première vente dans l'UE;-;La localisation désigne les ajustements nécessaires à l'adaptation d'un logiciel à un pays ou une langue. Elle peut viser la traduction de l'interface, les formats de date ou les devises.;1;facile;localisation|adaptation;2.2 - Droit d'auteur - Droits patrimoniaux;La localisation consiste à adapter un logiciel à {{un pays ou une langue}}.;pays ou langue|langue|pays;un pays ou une langue;un pays ou une langue|Le stockage du logiciel sur un disque local|La recherche de l'adresse IP|La première vente dans l'UE
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Que couvre le droit de distribution ?;Toute forme de distribution au public, y compris la location et le prêt;La correction d'erreurs uniquement;La décompilation uniquement;La paternité uniquement;-;Le droit de distribution porte sur toute mise à disposition au public de l'original ou de copies du programme. Il inclut la vente, le téléchargement, la location et le prêt.;1;facile;distribution|location|pret;2.2 - Droit d'auteur - Droits patrimoniaux;La distribution couvre aussi {{la location et le prêt}}.;location et prêt|location|prêt;la location et le prêt;la location et le prêt|La correction d'erreurs uniquement|La décompilation uniquement|La paternité uniquement
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quel est l'objectif du droit de distribution ?;Contrôler la circulation commerciale du logiciel;Supprimer toute revente légale;Créer une preuve de paternité;Transformer le logiciel en brevet;-;Ce droit permet à l'auteur ou au titulaire de contrôler la circulation commerciale du logiciel. Il vise les modalités de mise à disposition des copies au public.;1;facile;distribution|circulation;2.2 - Droit d'auteur - Droits patrimoniaux;Le droit de distribution permet de contrôler {{la circulation commerciale du logiciel}}.;circulation commerciale;la circulation commerciale du logiciel;la circulation commerciale du logiciel|Supprimer toute revente légale|Créer une preuve de paternité|Transformer le logiciel en brevet
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Que signifie l'épuisement communautaire ?;Après une première vente consentie dans l'UE, le titulaire ne peut plus s'opposer à la revente de cette copie;Toute vente hors UE épuise le droit;Le titulaire perd tous ses droits sur le code source;Le logiciel tombe immédiatement dans le domaine public;Revois les actes d'exploitation soumis à autorisation.;La première vente d'une copie dans l'Union européenne par le titulaire ou avec son consentement épuise le droit de distribution pour cette copie. Le titulaire ne peut plus interdire sa revente.;3;avancé;epuisement|ue;2.2 - Droit d'auteur - Droits patrimoniaux;Après une première vente consentie dans l'UE, le titulaire ne peut plus {{s'opposer à la revente de cette copie}}.;s'opposer à la revente|interdire la revente;s'opposer à la revente de cette copie;s'opposer à la revente de cette copie|Toute vente hors UE épuise le droit|Le titulaire perd tous ses droits sur le code source|Le logiciel tombe immédiatement dans le domaine public
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quel droit le titulaire conserve-t-il malgré l'épuisement ?;Le droit de contrôler la location ou le prêt;Le droit d'interdire toute revente;Le droit de supprimer la licence;Le droit d'imposer un brevet;Revois les actes d'exploitation soumis à autorisation.;L'épuisement concerne la revente de la copie. Le document précise que le titulaire conserve le droit de contrôler la location ou le prêt, même après la première vente.;3;avancé;epuisement|location|pret;2.2 - Droit d'auteur - Droits patrimoniaux;Malgré l'épuisement, le titulaire contrôle encore {{la location ou le prêt}}.;location ou prêt|location|prêt;la location ou le prêt;la location ou le prêt|Le droit d'interdire toute revente|Le droit de supprimer la licence|Le droit d'imposer un brevet
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Pourquoi XpertCompta peut-elle revendre la licence à FinPlus dans l'exemple Lucas ?;Parce que la première vente a eu lieu légalement dans l'UE;Parce que le logiciel n'était pas protégé;Parce que Lucas a perdu son droit moral;Parce que toute licence est mondiale;Revois les actes d'exploitation soumis à autorisation.;La licence perpétuelle a été vendue à une société située dans l'UE. Le droit de distribution est donc épuisé pour cette copie et Lucas ne peut pas s'opposer à la revente.;2;moyen;epuisement|exemple;2.2 - Droit d'auteur - Droits patrimoniaux;La revente est possible car {{la première vente a eu lieu légalement dans l'UE}}.;première vente dans l'UE|vente initiale en UE;la première vente a eu lieu légalement dans l'UE;la première vente a eu lieu légalement dans l'UE|Parce que le logiciel n'était pas protégé|Parce que Lucas a perdu son droit moral|Parce que toute licence est mondiale
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Pourquoi Émilie peut-elle s'opposer à la revente vers une entreprise belge dans l'exemple hors UE ?;Parce que la première vente a eu lieu hors de l'UE;Parce que le logiciel était gratuit;Parce que le code source était accessible;Parce que le client américain était salarié;Revois les actes d'exploitation soumis à autorisation.;L'utilisateur américain a acheté la licence via une plateforme aux États-Unis. Comme il n'y a pas eu de première vente dans l'UE, le droit de distribution n'est pas épuisé.;2;moyen;hors-ue|epuisement;2.2 - Droit d'auteur - Droits patrimoniaux;Il n'y a pas d'épuisement car {{la première vente a eu lieu hors de l'UE}}.;vente hors UE|première vente hors UE;la première vente a eu lieu hors de l'UE;la première vente a eu lieu hors de l'UE|Parce que le logiciel était gratuit|Parce que le code source était accessible|Parce que le client américain était salarié
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);La mise à disposition gratuite, la location ou le prêt restent-ils soumis à autorisation ?;Oui;Non, jamais;Seulement hors UE;Seulement après 20 ans;-;Le document indique que la mise à disposition gratuite, la location et le prêt restent soumis à autorisation. L'épuisement ne couvre pas ces actes.;1;facile;distribution|autorisation;2.2 - Droit d'auteur - Droits patrimoniaux;La mise à disposition gratuite, la location ou le prêt restent {{soumis à autorisation}}.;oui|soumis à autorisation;soumis à autorisation;soumis à autorisation|Non, jamais|Seulement hors UE|Seulement après 20 ans
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quels articles du CDE prévoient les exceptions aux droits patrimoniaux ?;Les articles XI.299 et XI.300 CDE;Les articles XI.293 et XI.304 CDE;Les articles 52 et 57 CBE;L'article 6bis de Berne;-;Le document rattache les exceptions aux droits patrimoniaux aux articles XI.299 et XI.300 CDE. Ces exceptions limitent l'autorisation normalement requise du titulaire.;1;facile;xi299|xi300|exceptions;2.2 - Droit d'auteur - Exceptions aux droits patrimoniaux;Les exceptions sont prévues aux articles {{XI.299 et XI.300 CDE}}.;XI.299 et XI.300 CDE;XI.299 et XI.300 CDE;XI.299 et XI.300 CDE|Les articles XI.293 et XI.304 CDE|Les articles 52 et 57 CBE|L'article 6bis de Berne
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Que permet l'usage légitime ?;Les actes nécessaires à l'usage licite du logiciel, y compris la correction d'erreurs;La revente hors UE;La suppression du nom de l'auteur;La commercialisation libre du code source;Revois les exceptions prévues pour l'utilisateur légitime.;L'article XI.299 CDE autorise l'exécution, la reproduction ou la correction du logiciel lorsque ces actes sont nécessaires à son usage licite. La correction d'erreurs est expressément incluse.;2;moyen;usage-legitime|correction;2.2 - Droit d'auteur - Exceptions aux droits patrimoniaux;L'usage légitime inclut {{la correction d'erreurs}}.;correction d'erreurs|corriger des erreurs;la correction d'erreurs;la correction d'erreurs|La revente hors UE|La suppression du nom de l'auteur|La commercialisation libre du code source
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Pourquoi l'exception d'usage légitime est-elle nécessaire ?;Parce que l'exécution d'un logiciel implique au minimum une reproduction temporaire en RAM;Parce que lire un livre nécessite une copie;Parce que les logiciels ne sont jamais protégés;Parce qu'elle remplace le droit de distribution;Revois les exceptions prévues pour l'utilisateur légitime.;Pour utiliser un logiciel, une reproduction temporaire en mémoire vive est souvent nécessaire. Sans exception, l'utilisation technique normale d'un logiciel légalement acquis pourrait être une contrefaçon.;2;moyen;usage-legitime|ram;2.2 - Droit d'auteur - Exceptions aux droits patrimoniaux;L'usage légitime existe car l'exécution implique {{une reproduction temporaire en RAM}}.;reproduction temporaire en RAM|RAM;une reproduction temporaire en RAM;une reproduction temporaire en RAM|Parce que lire un livre nécessite une copie|Parce que les logiciels ne sont jamais protégés|Parce qu'elle remplace le droit de distribution
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Que permet la copie de sauvegarde ?;Une copie nécessaire à l'utilisation du programme par l'utilisateur légitime;Des copies illimitées;La vente d'une copie;La publication du code source;Revois les exceptions prévues pour l'utilisateur légitime.;L'utilisateur légitime peut faire une copie de sauvegarde si elle est nécessaire à l'utilisation du programme. Cette exception vise à préserver le droit d'usage en cas de problème technique.;2;moyen;backup|copie-sauvegarde;2.2 - Droit d'auteur - Exceptions aux droits patrimoniaux;La copie de sauvegarde autorise {{une copie nécessaire à l'utilisation du programme}}.;copie de sauvegarde|backup;une copie nécessaire à l'utilisation du programme;une copie nécessaire à l'utilisation du programme|Des copies illimitées|La vente d'une copie|La publication du code source
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Dans quels cas la copie de sauvegarde préserve-t-elle l'usage ?;Panne matérielle, corruption du fichier original ou besoin de réinstallation;Revente, location et prêt;Publication scientifique;Dépôt auprès de l'OEB;-;Le document cite la panne matérielle, la corruption du fichier original et le besoin de réinstallation. La sauvegarde reste limitée pour éviter les abus.;1;facile;backup|panne|reinstallation;2.2 - Droit d'auteur - Exceptions aux droits patrimoniaux;La sauvegarde sert en cas de {{panne, corruption du fichier ou réinstallation}}.;panne matérielle|corruption|réinstallation;panne, corruption du fichier ou réinstallation;panne, corruption du fichier ou réinstallation|Revente, location et prêt|Publication scientifique|Dépôt auprès de l'OEB
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Combien de copies de sauvegarde sont autorisées selon le document ?;Une seule copie;Deux copies;Un nombre illimité;Aucune copie;-;Le document précise qu'une seule copie de sauvegarde est autorisée. La règle protège l'utilisateur légitime tout en limitant les abus.;1;facile;backup|limite;2.2 - Droit d'auteur - Exceptions aux droits patrimoniaux;L'exception de sauvegarde autorise {{une seule copie}}.;une seule copie|1 copie;une seule copie;une seule copie|Deux copies|Un nombre illimité|Aucune copie
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Que permet l'observation et l'étude du programme ?;Observer, étudier ou tester le fonctionnement du logiciel sans autorisation préalable;Revendre le logiciel sans limite;Déposer un brevet sur le code d'autrui;Supprimer les droits moraux;Revois les exceptions prévues pour l'utilisateur légitime.;Un utilisateur légitime peut observer, étudier ou tester le fonctionnement du logiciel. Cette exception sert à comprendre les idées ou principes sous-jacents, analyser le comportement et identifier des bugs.;2;moyen;observation|etude;2.2 - Droit d'auteur - Exceptions aux droits patrimoniaux;L'utilisateur légitime peut {{observer, étudier ou tester}} le logiciel.;observer|étudier|tester;observer, étudier ou tester;observer, étudier ou tester|Revendre le logiciel sans limite|Déposer un brevet sur le code d'autrui|Supprimer les droits moraux
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Pourquoi l'exception d'observation et d'étude est-elle utile pédagogiquement ?;Elle permet d'analyser le comportement, de comprendre les principes et d'identifier des bugs;Elle autorise la commercialisation;Elle transfère les droits aux étudiants;Elle rend inutile toute licence;Revois les exceptions prévues pour l'utilisateur légitime.;Le document présente cette exception comme très utile en contexte pédagogique et technique. Elle permet une analyse du fonctionnement sans demander l'autorisation du titulaire.;2;moyen;pedagogie|observation;2.2 - Droit d'auteur - Exceptions aux droits patrimoniaux;Cette exception permet {{d'analyser le comportement et comprendre les principes}}.;analyser le comportement|comprendre les principes|identifier des bugs;d'analyser le comportement et comprendre les principes;d'analyser le comportement et comprendre les principes|Elle autorise la commercialisation|Elle transfère les droits aux étudiants|Elle rend inutile toute licence
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Que permet l'exception de décompilation pour interopérabilité ?;Reproduire ou traduire le code si c'est indispensable pour obtenir les informations nécessaires à l'interopérabilité;Décompiler pour créer une copie concurrente identique;Revendre le code source obtenu;Supprimer le contrat de licence;Revois les exceptions prévues pour l'utilisateur légitime.;La décompilation peut être autorisée si elle est indispensable pour obtenir les informations nécessaires à l'interopérabilité avec un autre programme. L'exception est finalisée et limitée.;3;avancé;decompilation|interopérabilité;2.2 - Droit d'auteur - Exceptions aux droits patrimoniaux;La décompilation est permise pour obtenir les informations nécessaires à {{l'interopérabilité}}.;interopérabilité|l'interopérabilité;l'interopérabilité;l'interopérabilité|Décompiler pour créer une copie concurrente identique|Revendre le code source obtenu|Supprimer le contrat de licence
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Dans l'exemple de Yanis, pourquoi la décompilation peut-elle être autorisée ?;Parce qu'elle vise à rendre son outil compatible avec des fichiers générés par un logiciel fermé;Parce qu'il veut revendre le logiciel original;Parce que tout code objet est libre;Parce que le logiciel original est hors UE;Revois les exceptions prévues pour l'utilisateur légitime.;Yanis veut comprendre la structure des fichiers d'un logiciel fermé pour créer un outil compatible. Les actes sont autorisés uniquement dans le but d'assurer l'interopérabilité.;3;avancé;decompilation|exemple;2.2 - Droit d'auteur - Exceptions aux droits patrimoniaux;Yanis décompile pour assurer {{l'interopérabilité}} avec un autre programme.;interopérabilité;l'interopérabilité;l'interopérabilité|Parce qu'il veut revendre le logiciel original|Parce que tout code objet est libre|Parce que le logiciel original est hors UE
Droit des contrats informatiques;Chapitre 2 - La protection du logiciel (IP);Quelles exceptions sont impératives et ne peuvent jamais être exclues par contrat ?;Copie de sauvegarde, observation/étude du programme, décompilation pour interopérabilité;Distribution, location et prêt;Paternité, intégrité et divulgation;Nouveauté, activité inventive et application industrielle;Revois les exceptions prévues pour l'utilisateur légitime.;Le document précise que ces trois exceptions sont impératives. Une clause contractuelle ne peut pas les supprimer, même si elle tente de le faire.;3;avancé;exceptions-imperatives;2.2 - Droit d'auteur - Exceptions aux droits patrimoniaux;Les exceptions impératives sont {{copie de sauvegarde, observation/étude et décompilation pour interopérabilité}}.;copie de sauvegarde|observation|étude|décompilation;copie de sauvegarde, observation/étude et décompilation pour interopérabilité;copie de sauvegarde, observation/étude et décompilation pour interopérabilité|Distribution, location et prêt|Paternité, intégrité et divulgation|Nouveauté, activité inventive et application industrielle
