collection;deck;question;correct_answer;wrong_answer_1;wrong_answer_2;wrong_answer_3;hint;explanation;level;difficulty;tags;source;cloze_text;accepted_answers;cloze_answers;cloze_word_bank
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quand le Digital Services Act a-t-il été adopté et appliqué ?;Adopté en octobre 2022 et entré en application en 2024;Adopté en avril 2019 et entré en application en 2022;Adopté en juin 2000 et entré en application en 2003;Adopté en mai 2001 et entré en application en 2004;Revois les deux dates du DSA.;Le DSA a été adopté en octobre 2022 et est entré en application en 2024.;2;moyen;dsa|dates;Chapitre 3 - p. 9;Le DSA a été adopté en {{octobre 2022}} et appliqué en {{2024}}.;octobre 2022 et 2024|adopté en octobre 2022 et appliqué en 2024;octobre 2022|2024;octobre 2022|2024|avril 2019|2022|juin 2000|2003|mai 2001|2004
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel est un objectif central du DSA concernant les intermédiaires techniques ?;Moderniser le régime de responsabilité des intermédiaires techniques;Créer un droit voisin réservé aux éditeurs de presse;Supprimer le mécanisme de notice and action européen;Limiter la régulation aux seules œuvres musicales;-;Le DSA vise notamment à moderniser le régime de responsabilité des intermédiaires techniques.;1;facile;dsa|responsabilite|intermediaires;Chapitre 3 - p. 9;Un objectif central du DSA est de {{moderniser le régime de responsabilité des intermédiaires techniques}}.;moderniser le régime de responsabilité des intermédiaires techniques;moderniser le régime de responsabilité des intermédiaires techniques;moderniser le régime de responsabilité des intermédiaires techniques|Créer un droit voisin réservé aux éditeurs de presse|Supprimer le mécanisme de notice and action européen|Limiter la régulation aux seules œuvres musicales
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que cherche à harmoniser le DSA ?;Les règles de modération de contenu, de transparence algorithmique et de coopération avec les autorités;Les contrats de cession de droits entre auteurs et producteurs;Les modes de rémunération des interprètes après cession de droits;Les procédures judiciaires pénales contre les utilisateurs finaux;Pense à la modération, aux algorithmes et aux autorités.;Le DSA harmonise les règles de modération de contenu, de transparence algorithmique et de coopération avec les autorités.;2;moyen;dsa|harmonisation|moderation;Chapitre 3 - p. 9;Le DSA harmonise la modération, {{la transparence algorithmique}} et la coopération avec les autorités.;transparence algorithmique|la transparence algorithmique;la transparence algorithmique;la transparence algorithmique|Les contrats de cession de droits entre auteurs et producteurs|Les modes de rémunération des interprètes après cession de droits|Les procédures judiciaires pénales contre les utilisateurs finaux
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle innovation clé du DSA concerne le signalement des contenus ?;L’introduction d’un système uniforme de notice and action;La suppression des signalements par les utilisateurs;La création d’une licence obligatoire pour chaque commentaire;L’interdiction des décisions motivées de modération;-;Le document présente l’introduction d’un système uniforme de notice and action comme une innovation clé du DSA.;1;facile;dsa|notice-and-action;Chapitre 3 - p. 9;Le DSA introduit un système uniforme de {{notice and action}}.;notice and action|notice & action|notification et action;notice and action;notice and action|La suppression des signalements par les utilisateurs|La création d’une licence obligatoire pour chaque commentaire|L’interdiction des décisions motivées de modération
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelles obligations renforcées le DSA impose-t-il aux très grandes plateformes ?;Évaluation des risques systémiques, audits, rapports de transparence et coopération avec les chercheurs;Suppression automatique des contenus licites, blocage des plaintes et absence de rapports;Cession obligatoire des droits d’auteur, licences gratuites et interdiction des audits;Contrôle exclusif des fournisseurs d’accès, absence de modération et secret algorithmique;Pense aux VLOPs et à leurs obligations systémiques.;Le DSA impose aux très grandes plateformes des évaluations des risques systémiques, des audits, des rapports de transparence et une coopération avec les chercheurs.;2;moyen;dsa|vlop|obligations;Chapitre 3 - p. 9;Les VLOPs doivent notamment réaliser {{des évaluations des risques systémiques, des audits et des rapports de transparence}}.;évaluations des risques systémiques, audits et rapports de transparence|audits, risques systémiques, rapports de transparence;des évaluations des risques systémiques, des audits et des rapports de transparence;des évaluations des risques systémiques, des audits et des rapports de transparence|Suppression automatique des contenus licites, blocage des plaintes et absence de rapports|Cession obligatoire des droits d’auteur, licences gratuites et interdiction des audits|Contrôle exclusif des fournisseurs d’accès, absence de modération et secret algorithmique
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle différence générale distingue la directive 2019/790 du DSA ?;La directive 2019/790 est spécifique au droit d’auteur, tandis que le DSA est un cadre général de régulation numérique;La directive 2019/790 vise tout contenu illicite, tandis que le DSA ne vise que les contenus protégés;La directive 2019/790 protège les utilisateurs, tandis que le DSA rémunère exclusivement les créateurs;La directive 2019/790 s’applique aux autorités, tandis que le DSA s’applique seulement aux auteurs;Revois le tableau de comparaison entre les deux textes.;Le tableau compare la directive 2019/790, spécifique au droit d’auteur, avec le DSA, cadre général de régulation numérique.;3;avancé;comparaison|directive-2019-790|dsa;Chapitre 3 - p. 10;La directive 2019/790 est spécifique au droit d’auteur, tandis que le DSA est {{un cadre général de régulation numérique}}.;cadre général de régulation numérique|un cadre général de régulation numérique;un cadre général de régulation numérique;un cadre général de régulation numérique|La directive 2019/790 vise tout contenu illicite, tandis que le DSA ne vise que les contenus protégés|La directive 2019/790 protège les utilisateurs, tandis que le DSA rémunère exclusivement les créateurs|La directive 2019/790 s’applique aux autorités, tandis que le DSA s’applique seulement aux auteurs
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;À quels contenus s’applique la directive 2019/790 selon le tableau comparatif ?;Aux contenus protégés;À tout contenu illicite ou problématique;Aux données personnelles uniquement;Aux contenus purement techniques uniquement;-;Le tableau indique que la directive 2019/790 s’applique aux contenus protégés.;1;facile;directive-2019-790|contenus-proteges;Chapitre 3 - p. 10;La directive 2019/790 s’applique aux {{contenus protégés}}.;contenus protégés|aux contenus protégés;contenus protégés;contenus protégés|À tout contenu illicite ou problématique|Aux données personnelles uniquement|Aux contenus purement techniques uniquement
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;À quels contenus s’applique le DSA selon le tableau comparatif ?;À tout contenu illicite ou problématique;Aux seuls contenus protégés par le droit d’auteur;Aux seules œuvres de presse reprises par les agrégateurs;Aux seuls contenus créés par les titulaires de droits;-;Le tableau précise que le DSA s’applique à tout contenu illicite ou problématique.;1;facile;dsa|contenus-illicites;Chapitre 3 - p. 10;Le DSA s’applique à {{tout contenu illicite ou problématique}}.;tout contenu illicite ou problématique|contenu illicite ou problématique;tout contenu illicite ou problématique;tout contenu illicite ou problématique|Aux seuls contenus protégés par le droit d’auteur|Aux seules œuvres de presse reprises par les agrégateurs|Aux seuls contenus créés par les titulaires de droits
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Selon le DSA, qui sont les destinataires du service ?;Les utilisateurs finaux, comme les internautes et clients;Les acteurs qui publient des contenus comme influenceurs et vendeurs;Les acteurs qui assurent la circulation technique des données;Les plateformes avec plus de 45 millions d’utilisateurs dans l’UE;-;Le tableau définit les destinataires du service comme les utilisateurs finaux, par exemple les internautes et clients.;1;facile;dsa|acteurs|destinataires;Chapitre 3 - p. 11;Les destinataires du service sont {{les utilisateurs finaux}}.;utilisateurs finaux|les utilisateurs finaux|internautes et clients;les utilisateurs finaux;les utilisateurs finaux|Les acteurs qui publient des contenus comme influenceurs et vendeurs|Les acteurs qui assurent la circulation technique des données|Les plateformes avec plus de 45 millions d’utilisateurs dans l’UE
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel est le rôle des fournisseurs de contenus selon le DSA ?;Publier des contenus;Assurer la circulation technique des données;Offrir l’accès au réseau;Contrôler les très grandes plateformes;-;Les fournisseurs de contenus sont ceux qui publient des contenus, comme les influenceurs, vendeurs ou blogueurs.;1;facile;dsa|acteurs|fournisseurs-contenus;Chapitre 3 - p. 11;Les fournisseurs de contenus ont pour rôle de {{publier des contenus}}.;publier des contenus|publier du contenu;publier des contenus;publier des contenus|Assurer la circulation technique des données|Offrir l’accès au réseau|Contrôler les très grandes plateformes
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel est le rôle des fournisseurs d’infrastructure ?;Assurer la circulation technique des données;Publier des contenus éditoriaux pour les utilisateurs;Contrôler les plaintes contre les VLOPs;Obtenir des licences pour les éditeurs de presse;Pense au rôle technique de base.;Le tableau indique que les fournisseurs d’infrastructure assurent la circulation technique des données.;2;moyen;dsa|acteurs|infrastructure;Chapitre 3 - p. 11;Les fournisseurs d’infrastructure assurent {{la circulation technique des données}}.;circulation technique des données|la circulation technique des données;la circulation technique des données;la circulation technique des données|Publier des contenus éditoriaux pour les utilisateurs|Contrôler les plaintes contre les VLOPs|Obtenir des licences pour les éditeurs de presse
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel est le rôle des fournisseurs d’accès à Internet ?;Offrir l’accès au réseau;Publier des contenus pour les utilisateurs finaux;Recevoir les plaintes au nom de la Commission;Analyser les risques systémiques des VLOPs;-;Les fournisseurs d’accès à Internet offrent l’accès au réseau, avec comme exemples Proximus, Orange et Telenet.;1;facile;dsa|acteurs|fai;Chapitre 3 - p. 11;Les fournisseurs d’accès à Internet offrent {{l’accès au réseau}}.;accès au réseau|l’accès au réseau;l’accès au réseau;l’accès au réseau|Publier des contenus pour les utilisateurs finaux|Recevoir les plaintes au nom de la Commission|Analyser les risques systémiques des VLOPs
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels acteurs sont qualifiés de prestataires intermédiaires selon le DSA ?;Hébergeurs, plateformes et moteurs de recherche;Internautes, clients et consommateurs finaux;Influenceurs, vendeurs et blogueurs;Parlements, tribunaux et administrations fiscales;-;Le tableau associe les prestataires intermédiaires aux hébergeurs, plateformes et moteurs de recherche.;1;facile;dsa|prestataires-intermediaires;Chapitre 3 - p. 11;Les prestataires intermédiaires comprennent {{hébergeurs, plateformes et moteurs de recherche}}.;hébergeurs, plateformes et moteurs de recherche;hébergeurs, plateformes et moteurs de recherche;hébergeurs, plateformes et moteurs de recherche|Internautes, clients et consommateurs finaux|Influenceurs, vendeurs et blogueurs|Parlements, tribunaux et administrations fiscales
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel seuil caractérise les VLOPs et VLOSEs selon le tableau ?;Plus de 45 millions d’utilisateurs actifs dans l’UE;Plus de 15 millions d’utilisateurs actifs dans un État membre;Plus de 6 % du chiffre d’affaires mondial annuel;Plus de 20 plaintes certifiées par mois dans l’UE;-;Le tableau définit les VLOPs et VLOSEs par un seuil supérieur à 45 millions d’utilisateurs actifs dans l’Union européenne.;1;facile;dsa|vlop|vlose|seuil;Chapitre 3 - p. 11;Les VLOPs et VLOSEs dépassent {{45 millions d’utilisateurs actifs dans l’UE}}.;45 millions d’utilisateurs actifs dans l’UE|plus de 45 millions d’utilisateurs actifs dans l’UE;45 millions d’utilisateurs actifs dans l’UE;45 millions d’utilisateurs actifs dans l’UE|Plus de 15 millions d’utilisateurs actifs dans un État membre|Plus de 6 % du chiffre d’affaires mondial annuel|Plus de 20 plaintes certifiées par mois dans l’UE
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle ambivalence d’Internet est soulignée dans la responsabilité des prestataires ?;Internet est un espace d’expression et d’innovation, mais aussi un terrain fertile pour les abus;Internet est uniquement un espace d’innovation sans risque juridique;Internet est seulement un terrain d’abus sans valeur pour l’expression;Internet est un réseau fermé où les contenus ne circulent pas publiquement;La phrase oppose deux faces d’Internet.;Le document présente Internet comme un espace d’expression et d’innovation, tout en rappelant qu’il facilite aussi des abus.;2;moyen;internet|ambivalence|abus;Chapitre 3 - p. 12;Internet est un espace d’expression et d’innovation, mais aussi {{un terrain fertile pour les abus}}.;terrain fertile pour les abus|un terrain fertile pour les abus;un terrain fertile pour les abus;un terrain fertile pour les abus|Internet est uniquement un espace d’innovation sans risque juridique|Internet est seulement un terrain d’abus sans valeur pour l’expression|Internet est un réseau fermé où les contenus ne circulent pas publiquement
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels exemples d’abus sur Internet sont cités ?;Partage illégal de contenus protégés et propos diffamatoires, haineux ou racistes;Défaut de licence des éditeurs et absence de rémunération des hébergeurs;Refus de coopération des chercheurs et audits externes excessifs;Publicité transparente et modération proportionnée des contenus;Regarde les abus listés dans la partie ambivalence.;Le document cite le partage illégal de contenus protégés et les propos diffamatoires, haineux ou racistes.;2;moyen;internet|abus|contenus-illicites;Chapitre 3 - p. 12;Les abus cités sont {{le partage illégal de contenus protégés et les propos diffamatoires, haineux ou racistes}}.;partage illégal de contenus protégés et propos diffamatoires, haineux ou racistes;le partage illégal de contenus protégés et les propos diffamatoires, haineux ou racistes;le partage illégal de contenus protégés et les propos diffamatoires, haineux ou racistes|Défaut de licence des éditeurs et absence de rémunération des hébergeurs|Refus de coopération des chercheurs et audits externes excessifs|Publicité transparente et modération proportionnée des contenus
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Dans le dilemme réglementaire, que faut-il préserver face à la protection des victimes ?;La liberté d’expression;La suppression automatique de tous les contenus;La domination économique des plateformes;L’absence de tout recours utilisateur;-;Le tableau du dilemme met en parallèle la protection des victimes et la préservation de la liberté d’expression.;1;facile;dilemme|liberte-expression;Chapitre 3 - p. 12;Il faut protéger les victimes tout en préservant {{la liberté d’expression}}.;liberté d’expression|la liberté d’expression;la liberté d’expression;la liberté d’expression|La suppression automatique de tous les contenus|La domination économique des plateformes|L’absence de tout recours utilisateur
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Dans le dilemme réglementaire, que faut-il éviter en luttant contre les infractions ?;La censure privée;La coopération avec les autorités;La sécurité juridique des plateformes;La notification des contenus illicites;-;Le document indique que la lutte contre les infractions doit être conciliée avec l’évitement de la censure privée.;1;facile;dilemme|censure|infractions;Chapitre 3 - p. 12;La lutte contre les infractions doit éviter {{la censure privée}}.;censure privée|la censure privée;la censure privée;la censure privée|La coopération avec les autorités|La sécurité juridique des plateformes|La notification des contenus illicites
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels sont les deux piliers principaux du cadre légal actuel en Europe ?;La directive 2019/790/UE et le Digital Services Act;La DMCA et la loi belge du 11 mars 2003 uniquement;Le Code civil belge et la directive 2001/29/CE uniquement;Le règlement eIDAS et le RGPD uniquement;Pense au droit d’auteur et au régime horizontal.;Le document identifie deux piliers : la directive 2019/790/UE et le Digital Services Act.;2;moyen;cadre-legal|directive-2019-790|dsa;Chapitre 3 - p. 13;Les deux piliers actuels sont {{la directive 2019/790/UE et le Digital Services Act}}.;directive 2019/790/UE et Digital Services Act|directive 2019/790/UE et DSA;la directive 2019/790/UE et le Digital Services Act;la directive 2019/790/UE et le Digital Services Act|La DMCA et la loi belge du 11 mars 2003 uniquement|Le Code civil belge et la directive 2001/29/CE uniquement|Le règlement eIDAS et le RGPD uniquement
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que cible la directive 2019/790/UE dans le cadre légal actuel ?;Les plateformes de partage de contenus, comme YouTube;Tous les prestataires numériques sans distinction de rôle;Les fournisseurs d’accès uniquement, comme Proximus;Les autorités nationales de protection des données;-;La directive 2019/790/UE cible les plateformes de partage de contenus, avec l’exemple de YouTube.;1;facile;directive-2019-790|plateformes-partage;Chapitre 3 - p. 13;La directive 2019/790/UE cible {{les plateformes de partage de contenus}}.;plateformes de partage de contenus|les plateformes de partage de contenus;les plateformes de partage de contenus;les plateformes de partage de contenus|Tous les prestataires numériques sans distinction de rôle|Les fournisseurs d’accès uniquement, comme Proximus|Les autorités nationales de protection des données
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle obligation proactive la directive 2019/790/UE implique-t-elle ?;Une obligation de filtrage ou retrait de contenus protégés sans autorisation;Une obligation de conserver tous les contenus protégés après notification;Une obligation d’ignorer les signalements des titulaires de droits;Une obligation de limiter le DSA aux seuls moteurs de recherche;La réponse porte sur les contenus protégés non autorisés.;Dans le cadre légal actuel, la directive implique une obligation proactive de filtrage ou retrait de contenus protégés sans autorisation.;2;moyen;directive-2019-790|filtrage|retrait;Chapitre 3 - p. 13;La directive implique une obligation proactive de {{filtrage ou retrait de contenus protégés sans autorisation}}.;filtrage ou retrait de contenus protégés sans autorisation;filtrage ou retrait de contenus protégés sans autorisation;filtrage ou retrait de contenus protégés sans autorisation|Une obligation de conserver tous les contenus protégés après notification|Une obligation d’ignorer les signalements des titulaires de droits|Une obligation de limiter le DSA aux seuls moteurs de recherche
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Depuis quand le DSA est-il applicable selon le cadre légal actuel ?;Depuis février 2024;Depuis avril 2019;Depuis juin 2000;Depuis mars 2003;-;Le document précise que le DSA est applicable depuis février 2024.;1;facile;dsa|application|dates;Chapitre 3 - p. 13;Le DSA est applicable depuis {{février 2024}}.;février 2024|depuis février 2024;février 2024;février 2024|Depuis avril 2019|Depuis juin 2000|Depuis mars 2003
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quel type de régime le DSA instaure-t-il pour les services numériques ?;Un nouveau régime horizontal pour tous les prestataires de services numériques;Un régime vertical réservé aux seuls éditeurs de presse;Un régime privé réservé aux plateformes américaines;Un régime ponctuel limité aux fournisseurs d’accès belges;Le mot important est horizontal.;Le DSA est présenté comme un nouveau régime horizontal applicable à tous les prestataires de services numériques.;2;moyen;dsa|regime-horizontal|prestataires;Chapitre 3 - p. 13;Le DSA instaure {{un nouveau régime horizontal pour tous les prestataires de services numériques}}.;nouveau régime horizontal pour tous les prestataires de services numériques;un nouveau régime horizontal pour tous les prestataires de services numériques;un nouveau régime horizontal pour tous les prestataires de services numériques|Un régime vertical réservé aux seuls éditeurs de presse|Un régime privé réservé aux plateformes américaines|Un régime ponctuel limité aux fournisseurs d’accès belges
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelle notion le DSA clarifie-t-il dans le cadre légal actuel ?;La connaissance effective;La communication au public;La cession des droits;Le droit voisin de presse;-;Le DSA clarifie la notion de connaissance effective et impose un système de notice and action européen.;1;facile;dsa|connaissance-effective;Chapitre 3 - p. 13;Le DSA clarifie la notion de {{connaissance effective}}.;connaissance effective|la connaissance effective;connaissance effective;connaissance effective|La communication au public|La cession des droits|Le droit voisin de presse
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Que reprend et modernise le DSA en matière de responsabilité ?;Les safe harbors de la directive e-commerce;Les droits voisins de la directive 2019/790/UE;Les sanctions pénales de la DMCA américaine;Les règles de cession des contrats d’auteur;Pense au régime de responsabilité limitée.;Le DSA reprend et modernise les safe harbors de la directive e-commerce, tout en ajoutant des obligations de diligence, transparence et coopération.;2;moyen;dsa|safe-harbor|directive-ecommerce;Chapitre 3 - p. 14;Le DSA reprend et modernise {{les safe harbors de la directive e-commerce}}.;safe harbors de la directive e-commerce|les safe harbors de la directive e-commerce;les safe harbors de la directive e-commerce;les safe harbors de la directive e-commerce|Les droits voisins de la directive 2019/790/UE|Les sanctions pénales de la DMCA américaine|Les règles de cession des contrats d’auteur
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelles obligations le DSA ajoute-t-il aux safe harbors modernisés ?;Des obligations de diligence, de transparence et de coopération;Des obligations de licence, de cession et de rémunération forfaitaire;Des obligations de filtrage pénal, de taxation et d’archivage fiscal;Des obligations de suppression judiciaire préalable et de secret algorithmique;Regarde ce qui complète les safe harbors.;Le DSA ajoute aux safe harbors des obligations de diligence, de transparence et de coopération.;2;moyen;dsa|diligence|transparence|cooperation;Chapitre 3 - p. 14;Le DSA ajoute des obligations de {{diligence, de transparence et de coopération}}.;diligence, transparence et coopération|obligations de diligence, transparence et coopération;diligence, de transparence et de coopération;diligence, de transparence et de coopération|Des obligations de licence, de cession et de rémunération forfaitaire|Des obligations de filtrage pénal, de taxation et d’archivage fiscal|Des obligations de suppression judiciaire préalable et de secret algorithmique
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Selon quel critère le DSA distingue-t-il plusieurs niveaux de responsabilité ?;Selon le type de service offert;Selon la nationalité de l’utilisateur final;Selon la nature publique ou privée de l’auteur;Selon le prix payé par le titulaire de droits;-;Le document indique que le DSA distingue plusieurs niveaux de responsabilité selon le type de service offert.;1;facile;dsa|niveaux-responsabilite;Chapitre 3 - p. 14;Le DSA distingue plusieurs niveaux de responsabilité selon {{le type de service offert}}.;type de service offert|le type de service offert;le type de service offert;le type de service offert|Selon la nationalité de l’utilisateur final|Selon la nature publique ou privée de l’auteur|Selon le prix payé par le titulaire de droits
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels sont les cinq niveaux de responsabilité distingués dans le DSA ?;Mere conduit, caching, hosting, plateformes en ligne, VLOPs et VLOSEs;Auteurs, éditeurs, producteurs, interprètes et agrégateurs de presse;Utilisateurs, titulaires, tribunaux, administrations et organismes ADR;Licence, cession, rémunération, transparence et droit voisin;Pense aux catégories A à E du régime.;Le document liste cinq niveaux : simple transport, caching, hébergement, plateformes en ligne, puis très grandes plateformes et moteurs.;2;moyen;dsa|regime-responsabilite|categories;Chapitre 3 - p. 14;Le DSA distingue {{mere conduit, caching, hosting, plateformes en ligne, VLOPs et VLOSEs}}.;mere conduit, caching, hosting, plateformes en ligne, VLOPs et VLOSEs|simple transport, caching, hébergement, plateformes, VLOPs et VLOSEs;mere conduit, caching, hosting, plateformes en ligne, VLOPs et VLOSEs;mere conduit, caching, hosting, plateformes en ligne, VLOPs et VLOSEs|Auteurs, éditeurs, producteurs, interprètes et agrégateurs de presse|Utilisateurs, titulaires, tribunaux, administrations et organismes ADR|Licence, cession, rémunération, transparence et droit voisin
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;À quoi correspondent les obligations des acteurs en ligne selon le DSA ?;À leur rôle, leur taille et leur impact sur l’écosystème en ligne;À leur pays d’origine, leur langue et leur ancienneté commerciale;À leur nombre de salariés, leur capital social et leur régime fiscal;À leur secteur culturel, leur contrat d’auteur et leur licence privée;Regarde la logique de proportionnalité de la pyramide.;Le document explique que les obligations varient selon le rôle, la taille et l’impact des acteurs en ligne sur l’écosystème.;2;moyen;dsa|obligations|proportionnalite;Chapitre 3 - p. 15;Les obligations correspondent à {{leur rôle, leur taille et leur impact sur l’écosystème en ligne}}.;rôle, taille et impact sur l’écosystème en ligne|leur rôle, leur taille et leur impact;leur rôle, leur taille et leur impact sur l’écosystème en ligne;leur rôle, leur taille et leur impact sur l’écosystème en ligne|À leur pays d’origine, leur langue et leur ancienneté commerciale|À leur nombre de salariés, leur capital social et leur régime fiscal|À leur secteur culturel, leur contrat d’auteur et leur licence privée
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Qu’est-ce que le simple transport ou mere conduit ?;La transmission purement technique de données sur un réseau;Le stockage durable de contenus à la demande d’un utilisateur;Le stockage temporaire optimisant une transmission ultérieure;La diffusion publique de contenus par une plateforme sociale;-;Le simple transport désigne une transmission purement technique de données sur un réseau.;1;facile;dsa|mere-conduit|definition;Chapitre 3 - p. 16;Le simple transport désigne {{la transmission purement technique de données sur un réseau}}.;transmission purement technique de données sur un réseau;la transmission purement technique de données sur un réseau;la transmission purement technique de données sur un réseau|Le stockage durable de contenus à la demande d’un utilisateur|Le stockage temporaire optimisant une transmission ultérieure|La diffusion publique de contenus par une plateforme sociale
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quelles sont les conditions d’exonération du mere conduit ?;Ne pas initier la transmission, ne pas sélectionner le destinataire et ne pas modifier les données;Conserver les données durablement, modifier le contenu et choisir le destinataire final;Obtenir une licence, filtrer les contenus et publier un rapport annuel;Recevoir une plainte, demander un audit et saisir la Commission européenne;Trois conditions négatives sont listées.;Le mere conduit est exonéré s’il n’initie pas la transmission, ne sélectionne pas le destinataire et ne modifie pas les données transmises.;2;moyen;dsa|mere-conduit|exoneration;Chapitre 3 - p. 16;Le mere conduit est exonéré s’il ne fait pas trois choses : {{initier la transmission, sélectionner le destinataire ou modifier les données}}.;ne pas initier, ne pas sélectionner, ne pas modifier|initier la transmission, sélectionner le destinataire ou modifier les données;initier la transmission, sélectionner le destinataire ou modifier les données;initier la transmission, sélectionner le destinataire ou modifier les données|Conserver les données durablement, modifier le contenu et choisir le destinataire final|Obtenir une licence, filtrer les contenus et publier un rapport annuel|Recevoir une plainte, demander un audit et saisir la Commission européenne
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Pourquoi le mere conduit n’engage-t-il pas sa responsabilité même en cas d’information illicite ?;Parce que la prestation est automatique et passive;Parce que le prestataire est toujours titulaire des droits;Parce que la notification est juridiquement impossible;Parce que les contenus illicites sont automatiquement licites;La justification tient au rôle technique du prestataire.;Le document précise que la prestation de simple transport est automatique et passive, ce qui justifie l’absence de responsabilité même en cas d’information illicite.;2;moyen;dsa|mere-conduit|passivite;Chapitre 3 - p. 16;Le mere conduit n’engage pas sa responsabilité car sa prestation est {{automatique et passive}}.;automatique et passive|prestation automatique et passive;automatique et passive;automatique et passive|Parce que le prestataire est toujours titulaire des droits|Parce que la notification est juridiquement impossible|Parce que les contenus illicites sont automatiquement licites
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Qu’est-ce que le caching selon le DSA ?;Un stockage automatique et temporaire destiné à optimiser la transmission ultérieure;Une transmission purement technique sans stockage temporaire;Un stockage durable de contenus à la demande de l’utilisateur;Une diffusion publique de contenus entre utilisateurs;-;Le caching est un stockage automatique et temporaire réalisé pour optimiser une transmission ultérieure.;1;facile;dsa|caching|definition;Chapitre 3 - p. 17;Le caching est {{un stockage automatique et temporaire destiné à optimiser la transmission ultérieure}}.;stockage automatique et temporaire destiné à optimiser la transmission ultérieure|stockage automatique et temporaire;un stockage automatique et temporaire destiné à optimiser la transmission ultérieure;un stockage automatique et temporaire destiné à optimiser la transmission ultérieure|Une transmission purement technique sans stockage temporaire|Un stockage durable de contenus à la demande de l’utilisateur|Une diffusion publique de contenus entre utilisateurs
Droit des contrats informatiques;Chapitre 3 - La responsabilité des hébergeurs de contenu;Quels exemples sont donnés pour le caching ?;Cloudflare et Akamai;Proximus et Orange;OVH et Dropbox;TikTok et Instagram;-;Le document cite Cloudflare et Akamai comme exemples de caching.;1;facile;dsa|caching|exemples;Chapitre 3 - p. 17;Les exemples de caching sont {{Cloudflare et Akamai}}.;Cloudflare et Akamai|Cloudflare Akamai;Cloudflare et Akamai;Cloudflare et Akamai|Proximus et Orange|OVH et Dropbox|TikTok et Instagram
